0.0500	6.517e-03	8.319e-04
0.0500	6.585e-03	8.519e-04
0.0500	6.692e-03	8.934e-04
0.0500	6.562e-03	8.459e-04
0.0500	6.602e-03	8.640e-04
0.0500	6.617e-03	8.576e-04
0.0500	6.665e-03	8.464e-04
0.0500	3.833e-04	1.446e-06
0.0500	9.759e-04	5.159e-06
0.0500	9.680e-04	5.075e-06
0.0500	8.549e-04	4.233e-06
0.0500	1.336e-03	9.266e-06
0.0500	9.983e-04	5.468e-06
0.0500	9.989e-04	5.374e-06
0.0500	9.975e-04	5.493e-06
0.0334	9.100e-05	1.703e-06
0.0533	1.745e-03	4.059e-06
0.0533	5.985e-03	4.456e-04
0.0533	5.972e-03	4.393e-04
0.0533	5.976e-03	4.401e-04
0.0533	5.979e-03	4.409e-04
0.0533	5.983e-03	4.416e-04
0.0533	5.990e-03	4.438e-04
